A move is represented by a number, which is the index (going from right to left, starting at 0) of the position to be occupied.
For example, Move: 0 indicates that the player occupied the bottom right square.
[_____x_o_] Move: 0, q-value: 0.987868941603665
Move: 2, q-value: 0.8163030096616244
Move: 4, q-value: 0.98414709395729
Move: 5, q-value: 0.9751825276534971
Move: 6, q-value: 0.965189554860407
Move: 7, q-value: 0.9827873623489722
Move: 8, q-value: 0.9010054761893116
[____x__o_] Move: 0, q-value: 0.951037980755757
Move: 2, q-value: 0.984078174456954
Move: 3, q-value: 0.9840961012632761
Move: 5, q-value: 0.9995573510515783
Move: 6, q-value: 0.971425763616935
Move: 7, q-value: 0.9331989168332342
Move: 8, q-value: 0.9876200103317387
[___x___o_] Move: 0, q-value: 0.9028085629184804
Move: 2, q-value: 0.982911404604426
Move: 3, q-value: 0.9715785267424977
Move: 4, q-value: 0.9995638564814726
Move: 6, q-value: 0.960136503774142
Move: 7, q-value: 0.998730675579776
Move: 8, q-value: 0.9791617680158424
[__x____o_] Move: 0, q-value: 0.9919283585622907
Move: 2, q-value: 0.9975356410432141
Move: 3, q-value: 0.9720421622880365
Move: 4, q-value: 0.9678428545594215
Move: 5, q-value: 0.9728131169146864
Move: 7, q-value: 0.9867730810401234
Move: 8, q-value: 0.9757384051282543
[_x_____o_] Move: 0, q-value: 0.9917827511778812
Move: 2, q-value: 0.9827879009760567
Move: 3, q-value: 0.9827880262316983
Move: 4, q-value: 0.9141845703125
Move: 5, q-value: 0.9987339363464591
Move: 6, q-value: 0.983223390307337
Move: 8, q-value: 0.9892423269317463
[x______o_] Move: 0, q-value: 0.9881946379773581
Move: 2, q-value: 0.983567991913985
Move: 3, q-value: 0.8875529982615262
Move: 4, q-value: 0.9877816308226102
Move: 5, q-value: 0.9721128166631843
Move: 6, q-value: 0.9761970424151514
Move: 7, q-value: 0.9892422593126442
[______o_x] Move: 1, q-value: 0.825671610562948
Move: 3, q-value: 0.9631465970141129
Move: 4, q-value: 0.9764425426255912
Move: 5, q-value: 0.9813082197614383
Move: 6, q-value: 0.991159767585664
Move: 7, q-value: 0.7962708797567757
Move: 8, q-value: 0.9834619601242451
[______ox_] Move: 0, q-value: 0.8245398082778435
Move: 3, q-value: 0.6938740260071778
Move: 4, q-value: 0.9849536918428505
Move: 5, q-value: 0.983955821875588
Move: 6, q-value: 0.8452207705863657
Move: 7, q-value: 0.9959658698353451
Move: 8, q-value: 0.8562361225155353
[_____xo__] Move: 0, q-value: 0.9779082282213949
Move: 1, q-value: 0.7747534865203807
Move: 4, q-value: 0.9631205648869265
Move: 5, q-value: 0.9864992123002594
Move: 6, q-value: 0.9934326420939215
Move: 7, q-value: 0.9047519126274028
Move: 8, q-value: 0.9203526437740948
[____x_o__] Move: 0, q-value: 0.9783472678820715
Move: 1, q-value: 0.9846095396060264
Move: 3, q-value: 0.9656038323091707
Move: 5, q-value: 0.9997635740451187
Move: 6, q-value: 0.893961594440043
Move: 7, q-value: 0.9832939228576834
Move: 8, q-value: 0.983097076183185
[___x__o__] Move: 0, q-value: 0.9823408270882723
Move: 1, q-value: 0.9839558360183298
Move: 3, q-value: 0.9885286741628079
Move: 4, q-value: 0.9997604712843895
Move: 6, q-value: 0.9641982090452529
Move: 7, q-value: 0.9647780579849048
Move: 8, q-value: 0.9661587812701542
[__x___o__] Move: 0, q-value: 0.9917096858726708
Move: 1, q-value: 0.8677359103312767
Move: 3, q-value: 0.9915692218075158
Move: 4, q-value: 0.862143247271888
Move: 5, q-value: 0.9642010104813036
Move: 7, q-value: 0.9961240402170972
Move: 8, q-value: 0.9066910743713379
[_x____o__] Move: 0, q-value: 0.7978926268406212
Move: 1, q-value: 0.9955490420103578
Move: 3, q-value: 0.9051843165767193
Move: 4, q-value: 0.9832180952653289
Move: 5, q-value: 0.9647786225629097
Move: 6, q-value: 0.9935045447200537
Move: 8, q-value: 0.9930785294700172
